Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"1","Unassigned","20 Microns Limited","https://20microns.com","readymade-fallback","HIGH","NO","N/A","enquiry@20microns.com","[Investor Grievance / Compliance Officer Email] enquiry@20microns.com; [General Contact Email] enquiry@20microns.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 22. Lighthouse A11y: 30/100."
"2","Unassigned","21st Century Management Services Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"3","Unassigned","360 ONE WAM LIMITED","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"4","Unassigned","3B Blackbio Dx Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"6","Unassigned","3M India Limited","https://msn.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (akamai)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (akamai)"
"7","Unassigned","3P Land Holdings Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"5","Unassigned","3i Infotech Limited","https://3i-infotech.com","readymade-fallback","HIGH","NO","N/A","marketing@3i-infotech.com","[General Contact Email] marketing@3i-infotech.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 18. Lighthouse A11y: 30/100."
"8","Unassigned","5Paisa Capital Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"9","Unassigned","63 moons technologies limited","https://63moons.com","readymade-fallback","HIGH","NO","N/A","info@63moons.com","[General Contact Email (Guessed Pattern)] info@63moons.com; [Investor Grievance Email (Guessed Pattern)] contact@63moons.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 8. Lighthouse A11y: 68/100."
"10","Unassigned","A2Z Infra Engineering Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"11","Unassigned","AAA Technologies Limited","https://aaa.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"27","Unassigned","ABB India Limited","https://abbvie.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"35","Unassigned","ABM International Limited","https://abmintl.in","readymade-fallback","HIGH","NO","N/A","info@abmintl.in","[General Contact Email] info@abmintl.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 5. Lighthouse A11y: 80/100."
"36","Unassigned","ABM Knowledgeware Limited","https://abmindia.com","readymade-fallback","HIGH","NO","N/A","egovernance@abmindia.com, cs@abmindia.com","[General Contact Email] egovernance@abmindia.com, cs@abmindia.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 77. Lighthouse A11y: 30/100."
"39","Unassigned","ACC Limited","https://acclimited.com","readymade-fallback","HIGH","NO","N/A","info@acclimited.com","[General Contact Email (Guessed Pattern)] info@acclimited.com; [Investor Grievance Email (Guessed Pattern)] contact@acclimited.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"47","Unassigned","ACS Technologies Limited","https://acstechnologies.co.in","readymade-fallback","HIGH","NO","N/A","info@acstechnologies.co.in","[General Contact Email] info@acstechnologies.co.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 9. Lighthouse A11y: 64/100."
"54","Unassigned","ADF Foods Limited","https://adf-foods.com","readymade-fallback","HIGH","NO","N/A","info@adf-foods.com","[General Contact Email] info@adf-foods.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"80","Unassigned","AGI Greenpac Limited","https://agigreenpac.com","readymade-fallback","HIGH","NO","N/A","agi@agi-glaspac.com","[General Contact Email] agi@agi-glaspac.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 4. Lighthouse A11y: 84/100."
"90","Unassigned","AIA Engineering Limited","https://aiaengineering.com","readymade-fallback","HIGH","NO","N/A","info@aiaengineering.com","[General Contact Email (Guessed Pattern)] info@aiaengineering.com; [Investor Grievance Email (Guessed Pattern)] contact@aiaengineering.com","Unverified - guessed pattern","Yes","Yes","None","No","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"789","Unassigned","AION-TECH SOLUTIONS LIMITED","https://aiontech.es","readymade-fallback","HIGH","NO","N/A","hola@aiontech.es","[General Contact Email] hola@aiontech.es","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 7. Lighthouse A11y: 72/100."
"101","Unassigned","AKI India Limited","https://akinator.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"99","Unassigned","AK Capital Services Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
